"TFR TO CHECKING",bgm:account
DEPOSIT,bgm:ar
"BARAGA EDUCATI ONAL CG",bgm:charity
"EB CALL TO HOLINES S C ",bgm:charity
"ASHMUN ST SAULT ST. MAR MI",bgm:draw:fbreen
"AUGUSTI*NE FORMED.ORG",bgm:draw:fbreen
"BURGER KING Q",bgm:draw:fbreen
"CARDINAL STUDIOS LLC",bgm:draw:fbreen
"CHICAGO BOOKS",bgm:draw:fbreen
"DAILY WIRE - TX",bgm:draw:fbreen
"FIRST THINGS",bgm:draw:fbreen
"FRANCIS BREEN",bgm:draw:fbreen
"THOSE CATHOLIC MEN INC",bgm:draw:fbreen
"VALUE VILLAGE ",bgm:draw:fbreen
"WINCHESTER S MACKINAC",bgm:draw:fbreen
GEOTECH,bgm:equipment:rental
"ENVIRONMENTAL SIMULATI",bgm:equipment:software
WAL-MART,bgm:groceries
"DEPT. NATURAL RESOURCE - CGWP",bgm:license
"ANDERSENS CAFE JOHNSTON CITY IL","bgm:proj exp:dining"
"ANGULAR ST BURLINGTON IA","bgm:proj exp:dining"
"ANOTHER BROKEN EGG - BATO BATON","bgm:proj exp:dining"
APPLEBEES,"bgm:proj exp:dining"
"BEACON & BRIDGE MRKT FREDERIC","bgm:proj exp:dining"
"BEGGAR'S BANQUET","bgm:proj exp:dining"
"BIG BOY ","bgm:proj exp:dining"
"BIG MUDDY'S BURLINGTON IA","bgm:proj exp:dining"
"BLUE DOG CAFE LAFAYETTE LA","bgm:proj exp:dining"
"BOB EVANS","bgm:proj exp:dining"
"BOURQUE'S SUPERMARK","bgm:proj exp:dining"
"CAFE MOSAIC - OPELOUSA","bgm:proj exp:dining"
"CAFE VERMILIONVILLE LAFAYETTE LA","bgm:proj exp:dining"
"CASEYS ","bgm:proj exp:dining"
CHICK-FIL-A,"bgm:proj exp:dining"
CLADDAGH,"bgm:proj exp:dining"
"CORNER BAKERY","bgm:proj exp:dining"
"CORNER STORE","bgm:proj exp:dining"
"COUNTY EMMET","bgm:proj exp:dining"
"CRACKER BARREL","bgm:proj exp:dining"
"D AND D GROCERIES","bgm:proj exp:dining"
DENNY'S,"bgm:proj exp:dining"
"DOMINO'S ","bgm:proj exp:dining"
"FIREHOUSE SUBS","bgm:proj exp:dining"
"FLAP JACK SHACK","bgm:proj exp:dining"
"FUJI STEAK HOUS","bgm:proj exp:dining"
"GATOR COVE","bgm:proj exp:dining"
"TEXAS ROADHOUSE","bgm:proj exp:dining"
"THE CHOP HOUSE SMOKYS","bgm:proj exp:dining"
"THE DRAKE RESTAURANT","bgm:proj exp:dining"
"THE GRAND","bgm:proj exp:dining"
"TST* JACK'S RESTAURANT RAPID RIV","bgm:proj exp:dining"
"CIRCLE K","bgm:proj exp:gas"
"AMERICAN ","bgm:proj exp:lodging"
AMERICINN,"bgm:proj exp:lodging"
"BEST WESTERN","bgm:proj exp:lodging"
"COMFORT INN","bgm:proj exp:lodging"
COURTYARD,"bgm:proj exp:lodging"
"SUPER MOTELS","bgm:proj exp:lodging"
"TERRACE BAY HOTEL","bgm:proj exp:lodging"
"THE LANDMARK INN","bgm:proj exp:lodging"
"ADVANCE AUTO PARTS ",bgm:proj_exp:equipment
"CENEX PREMIER ",bgm:proj_exp:gas
CHEVRON,bgm:proj_exp:gas
CITGO,bgm:proj_exp:gas
CONOCO,bgm:proj_exp:gas
"EXXONMOBIL ",bgm:proj_exp:gas
"HOLIDAY STATIONS SA",bgm:proj_exp:gas
"KRIST OIL",bgm:proj_exp:gas
"LOVE'S ST. CHARL MN",bgm:proj_exp:gas
"MARATHON PETRO ",bgm:proj_exp:gas
MOBIL,bgm:proj_exp:gas
"DOHERTY RESTAURANT",bgm:proj_exp:meal
"DUNN BROTHERS COFFEE -",bgm:proj_exp:meal
"PERKINS RESTAU",bgm:proj_exp:meal
"GOLDEN GATE",bgm:proj_exp:meals
REBATE,bgm:rebate
GEODE,bgm:sub:geode
ZOOM.US,bgm:telecom:webmeeting
CVS/PHARMACY,bgs:proj_exp:dining
AIRBNB,bmg:proj_exp:lodging
"BALANCE TRANSFER FOR ACCT ENDING",cash:account
CASH,cash:account
CASHWITHDRAWAL,cash:account
