id,code,major,sub,detail,description,account_type,tax_category,parent_code,status,created_at
194,per:mortgage:interest:parnell,per,interest,1108parnell interest,Interest on mortgage for 1108parnell,expense,property,,active,2025-11-10 10:13:00.777716
91,mhb:mortgage:711pine,mhb,mortgage,711pine,mortgage balance,liability,property,,active,2025-11-09 23:43:10.525063
142,mhb:mortgage:819helen,mhb,mortgage,819helen,mortgage balance,liability,property,,active,2025-11-09 23:43:10.525063
143,mhb:mortgage:905brown,mhb,mortgage,905brown,mortgage balance,liability,property,,active,2025-11-09 23:43:10.525063
130,mhb:accountant,mhb,accountant,accountant,accountant professional fees,expense,deductible,,active,2025-11-09 23:43:10.525063
131,mhb:equipment,mhb,equipment,,rental equipment fees for MHB,expense,deductible,,active,2025-11-09 23:43:10.525063
87,mhb:tax:711pine,mhb,tax,711pine-01,Property Taxes for 711 Pine,expense,property,,active,2025-11-09 23:43:10.525063
83,mhb:income:rent:711pine-01,mhb,income,rent:711pine-01,Rental Income for 711 Pine Unit 01,income,,,active,2025-11-09 23:43:10.525063
84,mhb:income:rent:711pine-02,mhb,income,rent:711pine-02,Rental Income for 711 Pine Unit 02,income,,,active,2025-11-09 23:43:10.525063
85,mhb:maintenance:711pine-01,mhb,maintenance,711pine-01,Maintenance costs 711 Pine Unit 01,expense,property,,active,2025-11-09 23:43:10.525063
86,mhb:maintenance:711pine-02,mhb,maintenance,711pine-02,Maintenance costs 711 Pine Unit 02,expense,property,,active,2025-11-09 23:43:10.525063
134,mhb:income:rent:819helen,mhb,income,rent:819helen,Rental Income for 819 Helen,income,,,active,2025-11-09 23:43:10.525063
135,mhb:income:rent:905brown,mhb,income,rent:905brown,Rental Income for 905 Brown,income,,,active,2025-11-09 23:43:10.525063
136,mhb:income:sale:baird,mhb,income,sale:baird,Sale of Property on Baird,income,,,active,2025-11-09 23:43:10.525063
137,mhb:legal,mhb,legal,,Profession legal fees MHB,expense,,,active,2025-11-09 23:43:10.525063
138,mhb:maintenance:905brown,mhb,maintenance,905brown,Maintenance costs 905 Brown,expense,property,,active,2025-11-09 23:43:10.525063
192,mhb:mortgage:interest:905brown,mhb,interest,905brown interest,interest on mortgage for 905brown,expense,property,,active,2025-11-10 10:10:08.226964
193,mhb:mortgage:interest:819helen,mhb,interest,819helen interest,Interest on mortgage for 819helen,expense,property,,active,2025-11-10 10:11:56.393462
97,mhb:utility:electric:711pine-01,mhb,utility,electric:711pine-01,Electric bill 711 Pine Unit 01,expense,property,,active,2025-11-09 23:43:10.525063
195,mhb:mortgage:escrow:711pine,mhb,escrow,711pine escrow,711 Pine escrow for insurance,escrow,property,,active,2025-11-10 10:18:33.132921
196,mhb:mortgage:escrow:905brown,mhb,escrow,905brown escrow,905 Brown escrow for insurance,escrow,property,,active,2025-11-10 10:20:40.11335
197,mhb:mortgage:escrow:819helen,mhb,escrow,819helen escrow,819 Helen escrow for insurance,escrow,property,,active,2025-11-10 10:21:59.953416
144,mhb:pest control:711pine,mhb,pest control,711pine,Pest control for 711 Pine,expense,property,,active,2025-11-09 23:43:10.525063
95,mhb:utility:water:711pine,mhb,utility,water:711pine,Water Bill 711 Pine,expense,property,,active,2025-11-09 23:43:10.525063
93,mhb:utility:gas:711pine-01,mhb,utility,gas:711pine-01,Gas bill 711 Pine Unit 01,expense,property,,active,2025-11-09 23:43:10.525063
94,mhb:utility:gas:711pine-02,mhb,utility,gas:711pine-02,Gas bill 711 Pine Unit 02,expense,property,,active,2025-11-09 23:43:10.525063
98,mhb:utility:electric:711pine-02,mhb,utility,electric:711pine-02,Electric bill 711 Pine Unit 02,expense,property,,active,2025-11-09 23:43:10.525063
73,bgm:account,account,bgm,account,Main bank account for BGM,asset,,,active,2025-11-09 23:43:10.525063
140,mhb:maintenance:snow removal,mhb,maintenance,snow removal,snow removal,expense,property,,active,2025-11-09 23:43:10.525063
145,mhb:rental registration,mhb,rental registration,,City of SSM rental registration costs,expense,,,active,2025-11-09 23:43:10.525063
132,mhb:draw:fbreen,mhb,fbreen,dispersment,dispersements to F.Breen,expense,deductible,,active,2025-11-09 23:43:10.525063
141,mhb:draw:mbreen,mhb,mbreen,dispersement,Dispersments to M.Bren,expense,,,active,2025-11-09 23:43:10.525063
133,mhb:income:reimbursement,mhb,income,reimbursement,,income,,,active,2025-11-09 23:43:10.525063
198,per:mortgage:escrow:parnell,per,escrow,parnell escrow,1108 Parnell escrow for insurance / tax,escrow,property,,active,2025-11-10 10:25:52.594519
202,per:mortgage:fees:parnell,per,fees,1108parnell fees,Fees on mortgage for 1108parnell,expense,property,,active,2025-11-10 10:29:51.525155
162,mhb:mortgage:interest:711pine,mhb,interest,711pine interest,Interest on mortgage for 711pine,expense,,,active,2025-11-09 23:43:10.525063
80,mhb:asset:711pine,asset,711pine,,711 Pine Property Asset Value,asset,property,,active,2025-11-09 23:43:10.525063
82,mhb:asset:905brown,asset,905brown,,905 Brown Property Asset Value,asset,property,,active,2025-11-09 23:43:10.525063
81,mhb:asset:819helen,asset,819helen,,819 Helen Property Asset Value,asset,property,,active,2025-11-09 23:43:10.525063
148,mhb:tax:819helen,mhb,tax,819helen,Property Taxes for 819 Helen,expense,property,,active,2025-11-09 23:43:10.525063
149,mhb:tax:905brown,mhb,tax,905brown,Property Taxes for 905 Brown,expense,property,,active,2025-11-09 23:43:10.525063
