payee_pattern,allocate_account
LAKE SUPERIOR ST UNVST,salary : fbreen
USAA CREDIT CARD PAYMENT SAN ANT,account : bgm
PAYPAL *WAYFAIR,salary : fbreen
OFFICE DEPOT #385 LAFAYETTE LA ,proj exp : maps
ATT Payment,telecom : cell phone
1668 WINERY,salary : fbreen
PILOT 00005710 CHARLESTON MO ,proj exp : gas
UDEMY,prof : training
TRANSFER TO LOAN 50083 Note 1 ,mortgage : parnell
MARATHON PETRO,auto : gas
escrow,mortgage : parnell : escrow
Service Charge Period Ending 12/,fee : bank
NATIONAL PRO LIFE ALLIAN 7033219,charity : rtl
AMAZON.COM AMZN,salary : fbreen
JACKS GRUB AND PUB BRIMLEY MI ,proj exp : meal
Corporate ACH Usataxpymt IRS 270,tax : federal
INTERNET TFR TO CHECKING,account : bgm debit
ACH Debit Usataxpymt IRS XXXXXXX,tax : federal
WM SUPERCENTER,salary : fbreen
USAA.COM PAY EXT LIFE,insurance : life
MARATHON PETRO SAULT STE. MA MI ,proj exp : gas
PNC Medical,account : health
KOCH REMEDIATION PAYMENTS,account : ar
Parker ACE Hardware,salary : fbreen
PENNYS KITCHEN,proj exp : meal
ERICKSON APPL N FURNITURE SAULT ,na
JUDY AND COMPANY,salary : fbreen
T J MAXX,salary : fbreen
Wal-Mart Super,salary : fbreen
insurance escrow disbursement,mortgage : parnell : escrow
GOTOCITRIX.COM,internet : meeting
TBPG,prof : license
SHELL OIL 22600220032 BATESVILLE,proj exp : gas
LAWSON'S M-51 SERVICE PAW PAW MI,proj exp : gas
Frank Breen,salary : fbreen
#4 CLADDAGH LAN,proj exp : meal
Lake Superior State Payroll,payroll : fbreen : lssu
WITHDRAWAL ,fee : bank
Superior Township ,utility : water
AMERICINN LODGE,proj exp : lodging
Corporate ACH State Of M Mi Uia ,tax : state
SP * CORDBANDS LLC CORDBANDS.MYS,na
OVERDRAFT FEE,fee : bank
CENEX PREMIER 0,internet : meeting
DULUTH TRADING,proj exp : clothes
INK & TONER ALTERNATIV,equipment : office supplies
GEOLOGICAL SURVEY 812-855-5950 I,proj exp : maps
,unknown
Ron Estus,salary : fbreen
BIGGBY COFFEE STORE 542 GAYLORD ,proj exp : meal
PAYPAL *GODADDY.COM 402-935-7733,internet : hosting
ANYTIME FIT ABC CLUB FEES,salary : fbreen
ACH Credit Merch Pmt Huntington ,account : bgm
