payee_pattern,allocate_account
PURCHASE INK & TONER ALTERNATIV,equipment : office supplies
CIRCLE K 01691 LAFAYETTE LA,proj exp : meal
USAA CREDIT CARD PAYMENT SAN ANT,account : bgm
PURCHASE SHELL OIL 57445373608,auto : gas
War Memorial,training : fb
ACH CREDIT 4548512 HUNTINGTON BP,account : bgm
SSI@TITANIC PIGEON FOR,dispersement : fb
PURCHASE AMAZON.COM*M81BT44Y0,equipment : tech reference
ATT Payment,telecom : cell phone
PERKINS RST BA00220327 MENOMINEE,proj exp : meal
SHELL OIL 57525334801 MADISON MS,auto : gas
YOUNKERS #0442,dispersement : fb
PURCHASE BCI*BIRCHCOMMUNICATION,telecom : landline
ANDERSENS CAFE JOHNSTON CITY IL,proj exp : meal
PURCHASE SQ *SQ *BOOMERANG RETR,dispersement : fb
deposit to CSB,account : csb
INTERNET PMT TO CCD 080618,credit : voice
JCS SEVIERVILLE SEVIERVILLE TN,auto : gas
OFFICE DEPOT # 2745 LAFAYETTE LA,equipment : office supplies
ALLY PAYMT,auto : sierra
PAYPAL *JAYSCUSTOMC 402-935-7733,equipment : computer
MERCHANDISE RET YPS*HOMEAWAY HA-,unknown
HELLOFRESH.COM 800-733,dispersement : fb
YPS*HOMEAWAY HA-RZ0QLH 866-210-6,dispersement : fb
PURCHASE JOANN STORES #,charity : stmarys
csb,mortgage : parnell : escrow : dispersement
PURCHASE CSA } ADP DAMAGE PROTE,unknown
MEIJER # 293,dispersement : fb
ACH DEBIT XXXXX3741 IRS USATAXPY,tax : installment 
FRANKS PLACE SAULT SAINTE MI,dispersement : fb
CASEYS BENTON BENTON IL,proj exp : meal
CSB Loan Payment - Principle,loan : csb : principle
PURCHASE VISTAPR*VISTAPRINT.COM,proj exp : report reproduction
PURCHASE HY VEE 1044,auto : gas
CHICK-FIL-A #02327 LAFAYETTE LA,proj exp : meal
KRIST FOOD MART #40,auto : gas
AMERICINN MOTEL & SUITES MENOMIN,proj exp : lodging
NATIONAL OFFICE PRODUC,equipment : office supplies
PURCHASE MEIJER # 293,proj exp : meal
MIDWEST GEOSCIENCE GROUP 763-607,prof : training
GMF Lease WU GMFLeas,auto : cruze
PURCHASE BEACON & BRIDGE MRKT13,proj exp : meal
SELFAUTHORING.COM 16173987023 FL,prof : training
SHELL OIL 22637292108 DURANT MS,auto : gas
Superior Tnshp - Baird : 11,tax : property
HAMPTON INN GRENADA GRENADA MS,proj exp : lodging
ZURICH AMERICAN PAYMENTS,account : ar
PURCHASE CHRISTIAN CARE MINISTR,insurance : health
PICKLEMAN'S 1 STOP NEWBERRY MI,proj exp : meal
PURCHASE AMAZON.COM*M84WQ4LJ1,equipment : tech reference
INTERNET PMT TO CCD 080718,credit : voice
cash,account : cash
PURCHASE GFS STORE #092,dispersement : fb
PAYPAL *BARONIUS,dispersement : fb
WM SUPERCENTER,dispersement : fb
ONLINE TRANSFER FROM XXXXX1354,account : medical
CONTINUOUS OD CHARGE - 03 DAYS,fee : bank
MCDONALDS M6126 AUBURN IN,proj exp : meal
LOCK CITY HOME CTR SAULT SAINTE ,dispersement : fb
HUNTINGTON BP MERCH PMT 180129,account : bgm
PURCHASE GRAND HOTEL,dispersement : fb
CONTINUOUS OD CHARGE - 01 DAY,fee : bank
SHELL OIL 12361476018 STEELE MO,auto : gas
PURCHASE PENNYS KITCHEN,dispersement : fb
PURCHASE KEMPKER'S TRUE,proj exp : equipment
GRAND HOTEL LLC 906-8473331 MI,dispersement : fb
PHIL MOORE BUICK GMC JACKSON MS,auto : maintenance
INTERNET PMT TO CCD 112818,credit : voice
HUNTINGTON BP MERCH PMT 180511,account : bgm
EASY SAVINGS REBATE RBT MARATHON,proj exp : meal
BIG LOTS STORES - #170,dispersement : fb
OPTOM EYE CARE,medical : eye
HUNTINGTON BP MERCH PMT 181001,account : bgm
BOURQUE'S SUPERMARK PORT BARRE L,proj exp : meal
SHELL OIL 10003680013 LAFAYEETE ,auto : gas
Invoice - AIG,account : bgm
GATOR COVE LAFAYETTE LA,proj exp : meal
Transfer to PNC Tax Account,account : tax
SERVICE CHARGE PERIOD ENDING 10/,fee : bank
PURCHASE DOLLAR TREE,equipment : office supplies
OVERDRAFT FEE,fee : bank
OnStar 888-4ONSTAR MI,telecom : onstar
PURCHASE HELLOFRESH.COM 800-733,dispersement : fb
CRACKER BARREL #393 GAS C GAS CI,proj exp : meal
War Memorial,training : mb
MEIJER INC #136 Q01 ANDERSON IN,proj exp : meal
PURCHASE ART GALLERY OF ALGOMA,dispersement : fb
PURCHASE BURGER KING #6474 Q07,proj exp : meal
CRACKER BARREL #156 TERRE TERRE ,proj exp : meal
PURCHASE NETBRANDS MEDIA CORP.,dispersement : fb
CUSTOMIZED SERVICE 858-810-2000 ,auto : maintenance
LITTLE CAESARS 1324 0001 SAULT S,dispersement : fb
PURCHASE THE HUB,dispersement : fb
BIGGBY COFFEE STORE 542 GAYLORD ,proj exp : meal
CHEVRON 0304519 LAFAYETTE LA,auto : gas
HUNTINGTON BP MERCH PMT 180326,account : bgm
TX BD of Pro Geo RENEW FEE,prof : license
PURCHASE WISH.COM,dispersement : fb
US Treasury,tax : personal
KRIST FOOD MART #40 SAULT STE MA,auto : gas
SQ *WOODY'S OUTPOST Manistique M,proj exp : meal
HOLIDAY STNSTORE 0262,auto : gas
SUBSTITUTE CHECK,dispersement : fb
csb,mortgage : parnell : interest
CUP OF THE DAY SAULT SAINT MI,proj exp : meal
ACH CREDIT 8262521 HUNTINGTON BP,account : bgm
JOANN STORES #,dispersement : fb
PURCHASE TANGLEWOOD,dispersement : fb
PURCHASE PAYLESS SHOESO00044222,dispersement : fb
HYDRO SPRAY CAR WASH SAULTSTMARI,auto : maintenance
SAVE A LOT #24479,dispersement : fb
PURCHASE COUNTRY HEARTH INN AN,proj exp : lodging
Langendorf & Associates,prof serv : accounting
JOANN STORES #2336,charity : stmarys
THOSE CATHOLIC MEN INC,dispersement : fb
PURCHASE STAR LINE MACKINAC ISL,dispersement : fb
CCMSpecialXfer SPECIALACH,unknown
Invoice - Zurich,account : bgm
PURCHASE AMAZON.COM*M29O32H31,equipment : tech reference
MERCHANDISE RET AIRBNB * HM3YRTD,proj exp : lodging
INT*IN *GOODWILL INDUS,dispersement : fb
