payee_pattern,allocate_account,sub_account
PURCHASE FOUR SEASONS MKT,proj exp : meal,
PURCHASE PARKER ACE HAR,equipment : office furniture,
Fee,fee : bank,
SHELL OIL 57446319303 CLAYTON IN,auto : gas,
PET SUPPLIES PLUS #201,dispersement : fb,personal : household
WM SUPERCENTER,dispersement : fb,personal : household
ACH CREDIT 2646387 HUNTINGTON BP,account : bgm,
ALLY ALLY PAYMT,auto : sierra,
PURCHASE CROWNE PLAZA LANSING W,proj exp : lodging,
csb,mortgage : baird : principle,
"PURCHASE OPTICSPLANET, INC.",proj exp : equipment,
PURCHASE LIFETOUCHPHOTOGRAPHY,dispersement : fb,household
PURCHASE PERSONAL TOUCH ART STO,dispersement : fb,personal : household
PURCHASE SUNOCO 0444773600 QPS,auto : gas,
PURCHASE MARTINIS GRILLE AND BA,proj exp : meal,
SHELL OIL 52198310022 WEST BRANC,auto : gas,
DDA CASH ADVANCE,account : cash,
CHEVRON 0205821 LAFAYETTE LA,auto : gas,
ACH DEBIT XXXXX3912 IRS USATAXPY,tax : installment ,
PURCHASE STAR LINE MACKINAC ISL,dispersement : fb,personal : vacation
TARGET 00011692 HORN LAKE MS,proj exp : meal,
HUNTINGTON BP MERCH PMT 180420,account : bgm,
DOLLAR TREE,dispersement : fb,personal : household
PURCHASE CHRISTOPH 301 N LI,auto : gas,
CASEYS BENTON BENTON IL,proj exp : meal,
PURCHASE DUNKIN #356647,proj exp : meal,
RANDOLS RESTAURANT LAFAYETTE LA,proj exp : meal,
1668 WINERY SAULT S MARIE MI,dispersement : fb,personal : dining
CMSVEND*BE'S VENDING GREEN BAY W,proj exp : meal,
PURCHASE PFS*PREMIUM PAYMENT,insurance : gen-prof liability,
HOLIDAY STNSTORE 0262,auto : gas,
Chippewa County Treasurer,tax : property,
MARATHON PETRO112052 SAULT STE. ,auto : gas,
PURCHASE USA GASOLINE,auto : gas,
PURCHASE HY VEE 1044,auto : gas,
KofC,insurance : life : mb,
USAA CREDIT CARD PAYMENT SAN ANT,account : cash,
PURCHASE CUP OF THE DAY,proj exp : meal,
SHOE DEPT 1599,dispersement : fb,personal : clothing
Vern Miron,charity : kofc,
SHELL OIL 57442115002 PLAINFIELD,auto : gas,
PURCHASE JHFS #152 - CAD,auto : gas,
INTERNET PMT TO CCD 043018,credit : voice,
SHELL OIL 57444174502 VILLA PARK,auto : gas,
SQ *MAEVE'S ART SAN FRANCISCO CA,dispersement : fb,household
PAK N SHIP XPRESS SAULT STE. MA ,proj exp : shipping,
THE CHOP HOUSE SMOKYS SEVIERVILL,proj exp : meal,
KofC Insurance,insurance : life : fb,
INTL DEBIT CARD TRANS FEES,fee : bank,
EASY SAVINGS REBATE RBT BEACON &,proj exp : meal,
JCS SEVIERVILLE SEVIERVILLE TN,auto : gas,
Liberty Committee,charity : kofc,
PURCHASE WAL-MART #1294,proj exp : meal,
PURCHASE BCI*BIRCHCOMMUNICATION,telecom : landline,
PENNYS KITCHEN SAULT SAINTE MI,dispersement : fb,personal : dining
PURCHASE WEIRD HAROLDS/,dispersement : fb,personal : household
JOANN STORES #2336,dispersement : fb,personal : household
PURCHASE AMAZON.COM*MT9LD1YO1,equipment : tech reference,
CHEVRON 0304519 LAFAYETTE LA,auto : gas,
OnStar 888-4ONSTAR MI,telecom : onstar,
*FINANCE CHARGE* PURCHASE,fee : bank,
w/drawl,loan : bgm,
DODGE STORE 6201 BLYTHEVILLE AR,auto : maintenance,
939 ANGULAR ST BURLINGTON IA,proj exp : meal,
MOLONEYS ALLEY,dispersement : fb,personal : dining
balance,begin balance,
SAVE A LOT #24479,dispersement : fb,personal : household
PURCHASE AMAZON.COM*M29O32H31,equipment : tech reference,
PURCHASE GRAND HOTEL,dispersement : fb,personal : vacation
HAMPTON INN MT VERNON MOUNT VERN,proj exp : lodging,
ACH DEBIT XXXXX2138 IRS USATAXPY,tax : installment,
PAYPAL *BANANA BUYB,dispersement : fb,personal : household
MERCHANDISE RET YPS*HOMEAWAY HA-,dispersement : fb,personal : household
PURCHASE BEACON & BRIDGE MRKT13,proj exp : meal,
BIG MUDDY'S BURLINGTON IA,proj exp : meal,
TX BD of Pro Geo RENEW FEE,prof : license,
LOCK CITY HOME CTR SAULT SAINTE ,dispersement : fb,personal
PURCHASE YPS*HOMEAWAY HA-LPTBRX,dispersement : fb,personal : household
KOHL'S #1522,dispersement : fb,personal : household
MARATHON PETRO204560 MARION IN,auto : gas,
MARATHON PETRO88609 LEXINGTON KY,auto : gas,
PURCHASE GFS STORE 3195 I75,dispersement : fb,
SHELL OIL 57443877709 SAINT IGNA,auto : gas,
FRANKS PLACE - SAULT S SAULT SAI,dispersement : fb,personal : dining
US Treasury,tax : personal,
Preferred Cred PrefCredit,loan : general,
PURCHASE GOLDEN CHILD KITCHEN,proj exp : meal,
State of MI - Cruz Registration,auto : registration,
Frank Breen,account : personal,
SHELL OIL 22637292108 DURANT MS,auto : gas,
PURCHASE HOLIDAY STNSTORE 0262,auto : gas,
SHELL OIL 10011839007 MOUNT PLEA,auto : gas,
HAMPTON INN MCCOMB MCCOMB MS,proj exp : lodging,
PHIL MOORE BUICK GMC JACKSON MS,auto : maintenance,
PENNYS KITCHEN SAULT SAINTE MI,business development : meal,
RAISING CANE'S #53 LAFAYETTE LA,proj exp : meal,
PENN'S MADISON MADISON MS,proj exp : meal,
CORPORATE ACH 270870315249065 IR,tax : corporate,
PICKLEMAN'S 1 STOP NEWBERRY MI,proj exp : meal,
PURCHASE MCDONALD'S F5353,proj exp : meal,
PURCHASE AMZN MKTP US*M803I1LS1,equipment : tech reference,
PHILLIPS 66 - JACK FLASH EFFINGH,auto : gas,
INTERNET PMT TO CCD 080718,credit : voice,
PURCHASE EXXONMOBIL 97555544,auto : gas,
LSSU,tuition : mcbreen,
PURCHASE CHURCH MILITANT.TV,dispersement : fb,
Dale Hoornstra,utility : other,
PURCHASE BURGER KING #6474 Q07,proj exp : meal,
csb,mortgage : parnell : fee,
ACH DEBIT XXXXX3741 IRS USATAXPY,tax : installment ,
SERVICE CHARGE PERIOD ENDING 08/,fee : bank,
INTERNET TFR FRM CHECKING,account : bgm,
Deep Well,utility : water,
PURCHASE PIZZA HUT 10918,proj exp : meal,
CHINA CATE SAULT S MARIE MI,dispersement : fb,personal : dining
BIGGBY COFFEE #351,dispersement : fb,personal : dining
PURCHASE MEIJER # 293,dispersement : fb,
