payee_pattern,allocate_account
MC Breen,tuition : mcbreen
Preferred Cred PrefCredit,loan : vaccuum
PURCHASE BIGGBY COFFEE #351,proj exp : meal
PURCHASE PANERA BREAD #203222,proj exp : meal
AIRBNB * HM3PBWFJXR 415-800-5959,proj exp : lodging
PURCHASE LOCK CITY HOME,proj exp : equipment
Interest Charge on Purchases,fee : interest
PURCHASE AIRBNB * HMYH59NM4X,proj exp : lodging
USAA MC Payment,credit : usaamc
PNC-Tax,account : tax
PURCHASE CHURCH MILITANT.TV,salary : fbreen
HOLIDAY STNSTORE 0262 SAULT S MA,auto : gas
WAL-MART #0534 LAFAYETTE LA,proj exp : meal
PURCHASE RODENROTH MOTO,auto : maintenance
MONK MANUAL MONKMANUAL.CO OH,equipment : office supplies
PROMETRIC EXAM FEE,license : mb
GUSTO CON 610360,account : ar
BEACON & BRIDGE MRKT28 FREDERIC ,proj exp : meal
PURCHASE SAFELITE AUTOGLASS,auto : maintenance
INTERNET TFR FRM CHECKING,account : debit
INT*IN *GOODWILL INDUS,personal : household
SUZANNESOMERSCOM,personal : household
PURCHASE VIMEO.COM,salary : fbreen
PURCHASE INK & TONER ALTERNATIV,equipment : office supplies
CIRCLE K 01691 LAFAYETTE LA,proj exp : meal
USAA CREDIT CARD PAYMENT SAN ANT,account : bgm
ETERNAL LIFE 502-3483963 KY,personal
PURCHASE SHELL OIL 57445373608,auto : gas
War Memorial,training : fb
ACH CREDIT 4548512 HUNTINGTON BP,account : bgm
PURCHASE AMAZON.COM*M81BT44Y0,equipment : tech reference
PURCHASE GFS STORE 3195 I75,household : groceries
SOO SUPERVALU,personal : groceries
ATT Payment,telecom : cell phone
PERKINS RST BA00220327 MENOMINEE,proj exp : meal
SHELL OIL 57525334801 MADISON MS,auto : gas
REBLOSSOM CONSIGNMENT,personal : clothing
ANDERSENS CAFE JOHNSTON CITY IL,proj exp : meal
PURCHASE GOLDEN CHILD KITCHEN,proj texp : meal
deposit to CSB,account : csb
INTERNET PMT TO CCD 080618,credit : voice
JCS SEVIERVILLE SEVIERVILLE TN,auto : gas
MB Loan,loan : michelle
OFFICE DEPOT # 2745 LAFAYETTE LA,equipment : office supplies
ALLY PAYMT,auto : sierra
PAYPAL *JAYSCUSTOMC 402-935-7733,equipment : computer
MERCHANDISE RET YPS*HOMEAWAY HA-,unknown
csb,mortgage : parnell : escrow : dispersement
PURCHASE CSA } ADP DAMAGE PROTE,unknown
PAYPAL *BANANA BUYB,personal : household
PAYPAL *AUDIOBOOKS,personal : household
PNC Medical,account : health
CASEYS BENTON BENTON IL,proj exp : meal
CSB Loan Payment - Principle,loan : csb : principle
PURCHASE HY VEE 1044,auto : gas
PURCHASE VISTAPR*VISTAPRINT.COM,proj exp : report reproduction
KRIST FOOD MART #40,auto : gas
CHICK-FIL-A #02327 LAFAYETTE LA,proj exp : meal
AMERICINN MOTEL & SUITES MENOMIN,proj exp : lodging
DICK'S CLOTHING&SPORTING OKEMOS ,personal : clothing
NATIONAL OFFICE PRODUC,equipment : office supplies
PURCHASE MEIJER # 293,proj exp : meal
MIDWEST GEOSCIENCE GROUP 763-607,prof : training
PURCHASE BEACON & BRIDGE MRKT13,proj exp : meal
SELFAUTHORING.COM 16173987023 FL,prof : training
PURCHASE 1668 WINERY,personal : dining
SHELL OIL 22637292108 DURANT MS,auto : gas
Superior Tnshp - Baird : 11,tax : property
PURCHASE JOANN STORES #,household
TLF*COED FLOWERS AND G,personal : household
HAMPTON INN GRENADA GRENADA MS,proj exp : lodging
ZURICH AMERICAN PAYMENTS,account : ar
PURCHASE CHRISTIAN CARE MINISTR,insurance : health
PURCHASE SUPERIOR SENSATIONS CA,salary : fbreen
PICKLEMAN'S 1 STOP NEWBERRY MI,proj exp : meal
PURCHASE AMAZON.COM*M84WQ4LJ1,equipment : tech reference
INTERNET PMT TO CCD 080718,credit : voice
WPY*GOFUNDME,personal : charity
Frank Breen,salary : fbreen
ONLINE TRANSFER FROM XXXXX1354,account : medical
PURCHASE GREAT WALL,household : groceries
CONTINUOUS OD CHARGE - 03 DAYS,fee : bank
MCDONALDS M6126 AUBURN IN,proj exp : meal
HUNTINGTON BP MERCH PMT 180129,account : bgm
HLU*HULU 38961389-U,personal : entertainment
CONTINUOUS OD CHARGE - 01 DAY,fee : bank
SHELL OIL 12361476018 STEELE MO,auto : gas
PURCHASE KEMPKER'S TRUE,proj exp : equipment
PHIL MOORE BUICK GMC JACKSON MS,auto : maintenance
INTERNET PMT TO CCD 112818,credit : voice
TITANIC TENNESSEE ADMI,personal : entertainment
EASY SAVINGS REBATE RBT MARATHON,proj exp : meal
PURCHASE SOO SUPERVALU,salary : fbreen
STAR LINE MACKINAC ISL SAINT IGN,personal : vacation
FRANKS PLACE - SAULT S,personal : dining
OPTOM EYE CARE,medical : eye
BIG LOTS 3396 I 7,personal : household
SOO SUPERVALU FOODS,personal : groceries
BOURQUE'S SUPERMARK PORT BARRE L,proj exp : meal
SHELL OIL 10003680013 LAFAYEETE ,auto : gas
NEPHEWS OF MACKINAC MACKINAC ISL,personal : vacation
GATOR COVE LAFAYETTE LA,proj exp : meal
Transfer to PNC Tax Account,account : tax
SERVICE CHARGE PERIOD ENDING 10/,fee : bank
PURCHASE DOLLAR TREE,equipment : office supplies
"PURCHASE DAILY BURN, INC.",salary : fbreen
OVERDRAFT FEE,fee : bank
OnStar 888-4ONSTAR MI,telecom : onstar
PURCHASE TANGLEWOOD,salary : fbreen
SOLO TRATTORIA,personal : dining
PURCHASE LOCK CITY HOME CTR,salary : fbreen
CRACKER BARREL #393 GAS C GAS CI,proj exp : meal
War Memorial,training : mb
PURCHASE WALGREENS 2101 ASH,household : personal
MEIJER INC #136 Q01 ANDERSON IN,proj exp : meal
PURCHASE THE HUB,salary : fbreen
PURCHASE BURGER KING #6474 Q07,proj exp : meal
CRACKER BARREL #156 TERRE TERRE ,proj exp : meal
PURCHASE THE MENS WEARH,salary : fbreen
BIGGBY COFFEE STORE 542 GAYLORD ,proj exp : meal
CHEVRON 0304519 LAFAYETTE LA,auto : gas
TX BD of Pro Geo RENEW FEE,prof : license
US Treasury,tax : personal
PAYPAL *AUDIOBOOKS 402-935-7733 ,personal : entertainment
KRIST FOOD MART #40 SAULT STE MA,auto : gas
SQ *WOODY'S OUTPOST Manistique M,proj exp : meal
PURCHASE PENNYS KITCHEN,salary : fbreen
HOLIDAY STNSTORE 0262,auto : gas
csb,mortgage : parnell : interest
CUP OF THE DAY SAULT SAINT MI,proj exp : meal
ACH CREDIT 8262521 HUNTINGTON BP,account : bgm
HYDRO SPRAY CAR WASH SAULTSTMARI,auto : maintenance
PURCHASE COUNTRY HEARTH INN AN,proj exp : lodging
Langendorf & Associates,prof serv : accounting
JOANN STORES #2336,charity : stmarys
CCMSpecialXfer SPECIALACH,unknown
PURCHASE AMAZON.COM*M29O32H31,equipment : tech reference
MERCHANDISE RET AIRBNB * HM3YRTD,proj exp : lodging
HERNANDO TIGER,personal : household
HLU*HULU 389613892613,personal : entertainment
Vern Miron,charity : kofc
USAA.COM PAYMNT CREDIT CRD,credit : usaamc
PURCHASE CROWNE PLAZA LANSING W,proj exp : lodging
T J MAXX #1322,personal : clothing
ACH CREDIT 9303664 HUNTINGTON BP,account : bgm
SQ *MAEVE'S ART SAN FRANCISCO CA,household
TARGET 00011692 HORN LAKE MS,proj exp : meal
SHELL OIL 52136600039 GAYLORD MI,auto : gas
ACH CREDIT 1732390 HUNTINGTON BP,account : bgm
INTERNET PMT TO CCD 043018,credit : voice
PURCHASE CHRISTOPH 301 N LI,auto : gas
GUSTO CON 313669,account : ar
SATELLITE RECEI,personal : household
PURCHASE NETBRANDS MEDIA CORP.,salary : fbreen
GRAND HOTEL LLC 906-8473331 MI,personal : vacation
SPEEDWAY 02211 LAK EAST LANSING ,auto : gas
ACH CREDIT 2646387 HUNTINGTON BP,account : bgm
SUNOCO 0236971800 BRIMLEY MI,auto : gas
PURCHASE AMZN MKTP US,equipment : tech reference
OFFICEMAX/OFFICE DEPOT643 MARQUE,equipment : office supplies
OJIBWA EXPRESS CON MARQUETTE MI,equipment : office supplies
JOANN STORES #,personal : household
PAYPAL *ARTCURATOR,personal : household
PURCHASE BIG LOTS 3396 I 7,equipment : office furniture
PURCHASE DAFTER LANDFILL,utility : disposal
PURCHASE FAREWAY STORES,proj exp : meal
HAMPTON INNS 517-2799800 MI,proj exp : lodging
T J MAXX 4500 I-7,personal : clothing
LOVE S TRAVEL 00002543 MOORESVIL,auto : gas
PURCHASE THE JAUNTING CART,proj exp : meal
PURCHASE THE WICKED SISTER,salary : fbreen
PURCHASE SUNOCO 0444773600 QPS,auto : gas
USAA CHK-INTRNT TRANSFER,account : usaa
MCDONALD'S F17236 NEWBERRY MI,proj exp : meal
HUNTINGTON ATM CASH WITHDRAWAL,salary : fbreen
MACKINAC GRILLE SAINT IGNACE MI,personal : dining out
CBS ALL ACCESS,personal : entertainment
csb,mortgage : parnell : principle
PURCHASE ART GALLERY OF ALGOMA,household
PURCHASE GREAT LAKES OPTOMETRY,medical : eye
CRACKER BARREL #156 TE,proj exp : meal
THEDRAKERESTAURANT BURLINGTON IA,proj exp : meal
EASY SAVINGS REBATE RBT BP#59864,proj exp : meal
GMF Lease WU GMFLeas,auto : cruise
SUPER 1 FOODS 629 CARENCRO LA,proj exp : meal
PICABOO YEARBOOKS,personal : household
PURCHASE AMAZON.COM AMZN.COM/BI,equipment : tech reference
WAL-MART #2866 OKEMOS MI,proj exp : meal
PURCHASE THE LANDMARK INN,proj exp : lodging
Dr. Mercer,medical : dental
RAISING CANE'S #53 LAFAYETTE LA,proj exp : meal
PREJEANS LAFAYETTE LA,proj exp : meal
JOANN STORES #2336,personal : household
PURCHASE FOUR SEASONS MKT,proj exp : meal
The Landmark Inn Marquette MI,proj exp : lodging
PURCHASE EXXONMOBIL 97555544,auto : gas
LOVE S COUNTRY00002402 PORT ALLE,auto : gas
SALON C,personal : household
PURCHASE TLF*COED FLOWERS AND G,salary : fbreen
CIRCLE K 01691 LAFAYETTE LA,auto : gas
WOODLAKE MARKET KOHLER WI,proj exp : meal
PURCHASE AMZN MKTP US*M803I1LS1,equipment : tech reference
PURCHASE WEIRD HAROLDS/,salary : fbreen
SHELL OIL 10011839007 MOUNT PLEA,auto : gas
Happy Hounds,household
PURCHASE WISE OWL TECHNOLOGIES,equipment : computer
EXXONMOBIL 45304169 KROTZ SPRING,auto : gas
PURCHASE MEIJER # 293,salary : fbreen
INTERNET PMT TO CCD 011618,credit : voice
PURCHASE TRACTOR-S 6818 SOU,proj exp : equipment
HOLLYWOOD WAX MUSEUM,personal : entertainment
DOLLAR TREE,personal : household
PURCHASE YPS*HOMEAWAY HA-LPTBRX,salary : fbreen
WAL-MART #1294 MARION IN,proj exp : meal
PURCHASE BENT RIVER BREWING COM,proj exp : meal
PURCHASE PICKLEMAN'S 1 STOP,auto : gas
SUBSTITUTE CHECK,personal : unknown
