keyword,gl_account_code
" - MAINTENANCE FEE","bank : fee"
"#4 CLADDAGH LAN","proj exp : meal"
"*FINANCE CHARGE* PURCHASE","fee : bank"
"00004417 OMO PRECISION AUTO M001","auto : maintenance"
"02238301 GOLDEN GATE BATTLE MOU ","nv : auto : gas"
"06546014 LITTLE CAESARS 132 4 00","personal : dining"
"08301084 NNT PARKERS HARDWA R000","mhb : equipment"
"08301084 NNT PARKERS HARDWA R000","mhb : maintenance : 711pine"
"08301084 NNT PARKERS HARDWA R000","mhb: maintenance : 711pine"
"08301084 NNT PARKERS HARDWA R001","mhb : equipment"
"08301084 NNT PARKERS HARDWA R001","mhb : maintenance : 711pine"
"08301084 NNT PARKERS HARDWA R001","mhb: maintenance : 711pine"
"08301084 NNT PARKERS HARDWA R002","mhb : equipment"
"08301084 NNT PARKERS HARDWA R002","mhb : maintenance : 711pine"
"08301084 NNT PARKERS HARDWA R002","mhb: maintenance : 711pine"
"08736058 NNT PERKINS RESTAU R002","nv : dining"
"1668 WINERY","dispersement : fb"
"1668 WINERY","personal : dining"
"1668 WINERY","salary : fbreen"
"1668 WINERY SAULT S MARIE MI","dispersement : fb"
"1668 WINERY SAULT S MARIE MI","personal : dining out"
"1668 WINERY SAULT SAINTE MI","dispersement : fb"
"1668 WINERY SAULT SAINTE MI","personal : dining out"
"19360046 WAL WAL-MART SUPER 000 ","personal : household"
"23000300 GFS STORE #0923 SAULT S","personal : groceries"
"23000400 GFS STORE #0923 SAULT S","personal : groceries"
"24-HOUR GRACE OVERDRAFT FEE WAIV","bank : fee"
"306043 PILOT #599 MURDO SD - Deb","nv : auto : gas"
"306043 STINKER #214 - IVE RNESS ","nv : auto : gas"
"306043 WENDOVER TRAVEL CE NTER W","nv : auto : gas"
"306043 YESWAY #1174 EDGEMONT SD ","nv : auto : gas"
"315790 KRIST OIL 35 SAULT SAI MI","auto : gas"
"315796 SHELL SERVICE STAT ION AB","nv : auto : gas"
"315796 SHELL SERVICE STAT ION SA","auto : gas"
"318198 WALGREENS STORE 21 01 ASH","personal : household"
"319264 KOHLS 1522 4516 I- 75 BUS","personal : household"
"319851 CENEX TOTAL STOP F OOD ST","nv : dining"
"319998 DUNHAMS 139 MARIE MI - De","personal : household"
"39403101 BP#5986070LOTTER'S BAY ","nv : auto : gas"
"400097 FRANKS PLACE SAULT SAI MI","personal : dining"
"400469 RJ S MARKET SAULT STE XX ","personal : groceries"
"401339 307 HARDEES MUNISI NG    ","personal : dining"
"401339 FRANKS PLACE SAULT SAI MI","personal : dining"
"403454 MARATHON PETRO2613 54    ","auto : gas"
"403482 LOVE'S #844 ST. CHARL MN ","nv : auto :gas"
"403482 MEIJER 293 SAULT ST MI - ","personal : household"
"403724 PENNYS KITCHEN SAULT SAI ","personal : dining"
